lag,correlation,p_value,ETF
10.0,,,JUST
11.0,,,JUST
12.0,,,JUST
13.0,,,JUST
14.0,,,JUST
-12.0,-0.3885533810842349,0.26715509978234125,KOMP
-11.0,-0.13256652977735717,0.6976025270870253,KOMP
-10.0,0.5676915579192656,0.05418623912309281,KOMP
-9.0,-0.2846909177254128,0.3458074207325639,KOMP
-8.0,-0.034706609242252946,0.9062364678178818,KOMP
-7.0,-0.1030235110385109,0.7148372993629861,KOMP
-6.0,-0.31313682238794044,0.2376275098610514,KOMP
-5.0,,,KOMP
-4.0,,,KOMP
-3.0,,,KOMP
-2.0,,,KOMP
-1.0,,,KOMP
0.0,,,KOMP
1.0,,,KOMP
2.0,,,KOMP
3.0,,,KOMP
4.0,,,KOMP
5.0,,,KOMP
6.0,,,KOMP
7.0,,,KOMP
8.0,,,KOMP
9.0,,,KOMP
10.0,,,KOMP
11.0,,,KOMP
12.0,,,KOMP
-20.0,,,LIT
-19.0,,,LIT
-18.0,,,LIT
-17.0,,,LIT
-16.0,,,LIT
-15.0,,,LIT
-14.0,,,LIT
-13.0,,,LIT
-12.0,,,LIT
-11.0,,,LIT
-10.0,,,LIT
-9.0,,,LIT
-8.0,,,LIT
-7.0,,,LIT
-6.0,,,LIT
-5.0,,,LIT
-4.0,,,LIT
-3.0,,,LIT
-2.0,,,LIT
-1.0,,,LIT
0.0,,,LIT
1.0,,,LIT
2.0,,,LIT
3.0,,,LIT
4.0,,,LIT
5.0,,,LIT
6.0,,,LIT
7.0,,,LIT
8.0,,,LIT
9.0,,,LIT
10.0,,,LIT
11.0,,,LIT
12.0,,,LIT
13.0,,,LIT
14.0,,,LIT
15.0,,,LIT
16.0,,,LIT
17.0,,,LIT
18.0,,,LIT
19.0,,,LIT
20.0,,,LIT
-20.0,,,MOO
-19.0,,,MOO
-18.0,,,MOO
-17.0,,,MOO
-16.0,,,MOO
-15.0,,,MOO
-14.0,,,MOO
-13.0,,,MOO
-12.0,,,MOO
-11.0,,,MOO
-10.0,,,MOO
-9.0,,,MOO
-8.0,,,MOO
-7.0,,,MOO
-6.0,,,MOO
-5.0,,,MOO
-4.0,,,MOO
-3.0,,,MOO
-2.0,,,MOO
-1.0,,,MOO
0.0,,,MOO
1.0,,,MOO
2.0,,,MOO
3.0,,,MOO
4.0,,,MOO
5.0,,,MOO
6.0,,,MOO
7.0,,,MOO
8.0,,,MOO
9.0,,,MOO
10.0,,,MOO
11.0,,,MOO
12.0,,,MOO
13.0,,,MOO
14.0,,,MOO
15.0,,,MOO
16.0,,,MOO
17.0,,,MOO
18.0,,,MOO
19.0,,,MOO
20.0,,,MOO
-7.0,0.27159472281611696,0.44780503880103006,MSOS
-6.0,-0.2402852314667614,0.4766507158952598,MSOS
-5.0,,,MSOS
-4.0,,,MSOS
-3.0,,,MSOS
-2.0,,,MSOS
-1.0,,,MSOS
0.0,,,MSOS
1.0,,,MSOS
2.0,,,MSOS
3.0,,,MSOS
4.0,,,MSOS
5.0,,,MSOS
6.0,,,MSOS
7.0,,,MSOS
-20.0,,,NFRA
-19.0,,,NFRA
-18.0,,,NFRA
-17.0,,,NFRA
-16.0,,,NFRA
-15.0,,,NFRA
-14.0,,,NFRA
-13.0,,,NFRA
-12.0,,,NFRA
-11.0,,,NFRA
-10.0,,,NFRA
-9.0,,,NFRA
-8.0,,,NFRA
-7.0,,,NFRA
-6.0,,,NFRA
-5.0,,,NFRA
-4.0,,,NFRA
-3.0,,,NFRA
-2.0,,,NFRA
-1.0,,,NFRA
0.0,,,NFRA
1.0,,,NFRA
2.0,,,NFRA
3.0,,,NFRA
4.0,,,NFRA
5.0,,,NFRA
6.0,,,NFRA
7.0,,,NFRA
8.0,,,NFRA
9.0,,,NFRA
10.0,,,NFRA
11.0,,,NFRA
12.0,,,NFRA
13.0,,,NFRA
14.0,,,NFRA
15.0,,,NFRA
16.0,,,NFRA
17.0,,,NFRA
18.0,,,NFRA
19.0,,,NFRA
20.0,,,NFRA
-19.0,,,PAVE
-18.0,,,PAVE
-17.0,,,PAVE
-16.0,,,PAVE
-15.0,,,PAVE
-14.0,,,PAVE
-13.0,,,PAVE
-12.0,,,PAVE
-11.0,,,PAVE
-10.0,,,PAVE
-9.0,,,PAVE
-8.0,,,PAVE
-7.0,,,PAVE
-6.0,,,PAVE
-5.0,,,PAVE
-4.0,,,PAVE
-3.0,,,PAVE
-2.0,,,PAVE
-1.0,,,PAVE
0.0,,,PAVE
1.0,,,PAVE
2.0,,,PAVE
3.0,,,PAVE
4.0,,,PAVE
5.0,,,PAVE
6.0,,,PAVE
7.0,,,PAVE
8.0,,,PAVE
9.0,,,PAVE
10.0,,,PAVE
11.0,,,PAVE
12.0,,,PAVE
13.0,,,PAVE
14.0,,,PAVE
15.0,,,PAVE
16.0,,,PAVE
17.0,,,PAVE
18.0,,,PAVE
19.0,,,PAVE
-20.0,,,PBW
-19.0,,,PBW
-18.0,,,PBW
-17.0,,,PBW
-16.0,,,PBW
-15.0,,,PBW
-14.0,,,PBW
-13.0,,,PBW
-12.0,,,PBW
-11.0,,,PBW
-10.0,,,PBW
-9.0,,,PBW
-8.0,,,PBW
-7.0,,,PBW
-6.0,,,PBW
-5.0,,,PBW
-4.0,,,PBW
-3.0,,,PBW
-2.0,,,PBW
-1.0,,,PBW
0.0,,,PBW
1.0,,,PBW
2.0,,,PBW
3.0,,,PBW
4.0,,,PBW
5.0,,,PBW
6.0,,,PBW
7.0,,,PBW
8.0,,,PBW
9.0,,,PBW
10.0,,,PBW
11.0,,,PBW
12.0,,,PBW
13.0,,,PBW
14.0,,,PBW
15.0,,,PBW
16.0,,,PBW
17.0,,,PBW
18.0,,,PBW
19.0,,,PBW
20.0,,,PBW
-20.0,,,PHO
-19.0,,,PHO
-18.0,,,PHO
-17.0,,,PHO
-16.0,,,PHO
-15.0,,,PHO
-14.0,,,PHO
-13.0,,,PHO
-12.0,,,PHO
-11.0,,,PHO
-10.0,,,PHO
-9.0,,,PHO
-8.0,,,PHO
-7.0,,,PHO
-6.0,,,PHO
-5.0,,,PHO
-4.0,,,PHO
-3.0,,,PHO
-2.0,,,PHO
-1.0,,,PHO
0.0,,,PHO
1.0,,,PHO
2.0,,,PHO
3.0,,,PHO
4.0,,,PHO
5.0,,,PHO
6.0,,,PHO
7.0,,,PHO
8.0,,,PHO
9.0,,,PHO
10.0,,,PHO
11.0,,,PHO
12.0,,,PHO
13.0,,,PHO
14.0,,,PHO
15.0,,,PHO
16.0,,,PHO
17.0,,,PHO
18.0,,,PHO
19.0,,,PHO
20.0,,,PHO
-1.0,,,PRNT
0.0,,,PRNT
1.0,,,PRNT
